concept_id,concept,category,status,first_seen_paper,first_seen_year,latest_seen_paper,latest_seen_year,page_path,primary_reference_doi,openalex_id,dimensions_id,sciscinet_id,aliases
awakening_time,Awakening time,measures,full_text_seed,Ke et al. (2015),2015,Ke et al. (2015),2015,concepts/measures/awakening_time.md,10.1073/pnas.1424329112,W2171817276,pub.1047813258,W2171817276,awakening year; citation awakening time; delayed-recognition transition year; SB awakening
beauty_coefficient,Beauty coefficient,measures,full_text_seed,Ke et al. (2015),2015,Ke et al. (2015),2015,concepts/measures/beauty_coefficient.md,10.1073/pnas.1424329112,W2171817276,pub.1047813258,W2171817276,sleeping beauty coefficient; B index; delayed recognition score; awakening time
negative_beauty_coefficient_trajectory_class,Negative beauty coefficient trajectory class,measures,full_text_seed,Ke et al. (2015),2015,Ke et al. (2015),2015,concepts/measures/negative_beauty_coefficient_trajectory_class.md,10.1073/pnas.1424329112,W2171817276,pub.1047813258,W2171817276,negative B trajectories; nonpositive beauty coefficient; early-peaking citation class; concave citation trajectory class
citation_impact_indicators,Citation impact indicators,measures,full_text_seed,Price (1965),1965,Meng et al. (2024),2024,concepts/measures/citation_impact_indicators.md,10.1016/j.joi.2016.02.007,W767067438,pub.1051718960,W767067438,citation counts; impact metrics; bibliometric indicators
citation_percentile_indicators,Citation percentile indicators,measures,full_text_seed,Waltman (2016),2016,Wang et al. (2017),2017,concepts/measures/citation_percentile_indicators.md,10.1016/j.joi.2016.02.007,W767067438,pub.1051718960,W767067438,top percentile citations; highly cited paper share; top 1 percent papers; top 10 percent papers
citation_distribution_scaling,Citation distribution scaling,measures,full_text_seed,Price (1976),1976,Radicchi et al. (2008),2008,concepts/measures/citation_distribution_scaling.md,10.1002/asi.4630270505,W2080450835,pub.1038956878,W2080450835,heavy-tailed citations; power-law citation tail; citation inequality distribution; universal citation scaling
competitive_funding_share_threshold,Competitive-funding share threshold,measures,full_text_seed,Wang et al. (2018),2018,Wang et al. (2018),2018,concepts/measures/competitive_funding_share_threshold.md,10.1016/j.respol.2018.03.014,W2794465725,pub.1101833101,W2794465725,competitive funding dummy; competitive funding ratio; project funding-share measure; block competitive funding classification
citation_elite_concentration,Citation elite concentration,measures,full_text_seed,Nielsen and Andersen (2021),2021,Nielsen and Andersen (2021),2021,concepts/measures/citation_elite_concentration.md,10.1073/pnas.2012208118,W3128893582,pub.1135221443,W3128893582,citation elite; top 1 percent citation share; author citation concentration; citation inequality concentration
citation_pagerank,Citation PageRank,measures,full_text_seed,Chen et al. (2007),2007,Chen et al. (2007),2007,concepts/measures/citation_pagerank.md,10.1016/j.joi.2006.06.001,W1539510218,pub.1021188249,W1539510218,PageRank centrality; Google number; eigenvector citation impact; recursive citation rank
collective_credit_allocation,Collective credit allocation,measures,full_text_seed,Shen and Barabasi (2014),2014,Shen and Barabasi (2014),2014,concepts/measures/collective_credit_allocation.md,10.1073/pnas.1401992111,W2037997493,pub.1014325139,W2037997493,credit allocation; coauthor credit; credit-share vector; author contribution credit
credit_allocation_matrix,Credit allocation matrix,measures,full_text_seed,Shen and Barabasi (2014),2014,Shen and Barabasi (2014),2014,concepts/measures/credit_allocation_matrix.md,10.1073/pnas.1401992111,W2037997493,pub.1014325139,W2037997493,credit matrix; author-paper credit matrix; local credit allocation; co-cited-paper credit matrix
credit_share_evolution,Credit-share evolution,measures,full_text_seed,Shen and Barabasi (2014),2014,Shen and Barabasi (2014),2014,concepts/measures/credit_share_evolution.md,10.1073/pnas.1401992111,W2037997493,pub.1014325139,W2037997493,credit trajectory; temporal credit share; evolving coauthor credit; credit-share time series
coauthor_prestige_exposure,Coauthor prestige exposure,measures,full_text_seed,Sekara et al. (2018),2018,Li et al. (2019),2019,concepts/measures/coauthor_prestige_exposure.md,10.1038/s41467-019-13130-4,W2949684159,pub.1122584827,W2949684159,top coauthor exposure; elite collaborator exposure; coauthor status signal; prestige coauthorship
collaboration_assortativity,Collaboration assortativity,measures,full_text_seed,Newman (2004),2004,Newman (2004),2004,concepts/measures/collaboration_assortativity.md,10.1073/pnas.0307545100,W2097777089,pub.1049986679,W2097777089,degree assortativity; coauthor degree correlation; assortative mixing; hub-to-hub collaboration
collaboration_clustering_coefficient,Collaboration clustering coefficient,measures,full_text_seed,Newman (2001),2001,Guimera et al. (2005),2005,concepts/measures/collaboration_clustering_coefficient.md,10.1073/pnas.98.2.404,W2125315567,pub.1018280471,W2125315567,coauthorship clustering; transitivity; local closure; triangle density
collaboration_giant_component,Collaboration giant component,measures,full_text_seed,Newman (2001),2001,Guimera et al. (2005),2005,concepts/measures/collaboration_giant_component.md,10.1073/pnas.98.2.404,W2125315567,pub.1018280471,W2125315567,largest connected component; giant component size; coauthorship component size; collaboration connectedness
disruption_index,Disruption index,measures,full_text_seed,Funk and Owen-Smith (2017),2017,Lin et al. (2026),2026,concepts/measures/disruption_index.md,10.1287/mnsc.2015.2366,W2303284028,pub.1064718099,W2303284028,CD index; disruptiveness score; consolidation score
reference_age_search_depth,Reference-age search depth,measures,full_text_seed,Evans (2008),2008,Park et al. (2023),2023,concepts/measures/reference_age_search_depth.md,10.1038/s41586-019-0941-9,W2913773162,pub.1112085796,W2913773162,search depth; reference age; old-reference search; depth into past work
diversity_measures,Diversity measures,measures,full_text_seed,Stirling (2007),2007,Wang et al. (2015),2015,concepts/measures/diversity_measures.md,10.1098/rsif.2007.0213,W2110158660,pub.1011912474,W2110158660,variety balance disparity; Rao-Stirling diversity; portfolio diversity; diversity heuristic
interdisciplinarity_dimensions,Interdisciplinarity dimensions,measures,full_text_seed,Stirling (2007),2007,Wang et al. (2015),2015,concepts/measures/interdisciplinarity_dimensions.md,10.1098/rsif.2007.0213,W2110158660,pub.1011912474,W2110158660,variety balance disparity; interdisciplinarity components; diversity dimensions; Rao-Stirling components
eigenfactor_metrics,Eigenfactor metrics,measures,full_text_seed,West et al. (2010),2010,Waltman (2016),2016,concepts/measures/eigenfactor_metrics.md,10.5860/0710236,W1993001003,pub.1002494331,W1993001003,Eigenfactor Score; Article Influence Score; journal prestige; recursive journal influence
faculty_production_inequality,Faculty production inequality,measures,full_text_seed,Clauset et al. (2015),2015,Wapman et al. (2022),2022,concepts/measures/faculty_production_inequality.md,10.1038/s41586-022-05222-x,W4296907580,pub.1151187611,W4296907580,faculty producer concentration; doctoral production inequality; academic placement inequality; faculty-production Gini
faculty_self_hiring_rates,Faculty self-hiring rates,measures,full_text_seed,Wapman et al. (2022),2022,Wapman et al. (2022),2022,concepts/measures/faculty_self_hiring_rates.md,10.1038/s41586-022-05222-x,W4296907580,pub.1151187611,W4296907580,self-hiring; academic inbreeding; faculty self-loops; doctoral alma mater hiring
field_classifications,Field classifications,measures,full_text_seed,Waltman and van Eck (2012),2012,Priem et al. (2022),2022,concepts/measures/field_classifications.md,10.1002/asi.22748,W2126566678,pub.1036746088,W2126566678,taxonomy; subject categories; topic classification; paper-level fields
field_normalized_citation_impact,Field-normalized citation impact,measures,full_text_seed,Radicchi et al. (2008),2008,Waltman (2016),2016,concepts/measures/field_normalized_citation_impact.md,10.1073/pnas.0806977105,W2151866568,pub.1052550373,W2151866568,normalized citations; MNCS; citation percentiles
geographic_collaboration_distance,Geographic collaboration distance,measures,full_text_seed,Jones et al. (2008),2008,Pan et al. (2012),2012,concepts/measures/geographic_collaboration_distance.md,10.1038/srep00902,W2150607630,pub.1050077381,W2150607630,distance decay; collaboration gravity law; spatial collaboration network; geographic citation flow
h_index,h-index,measures,full_text_seed,Hirsch (2005),2005,Waltman (2016),2016,concepts/measures/h_index.md,10.1073/pnas.0507655102,W2128438887,pub.1050917859,W2128438887,Hirsch index; author impact index
hot_streak_onset_detection,Hot-streak onset detection,measures,full_text_seed,Liu et al. (2018),2018,Liu et al. (2021),2021,concepts/measures/hot_streak_onset_detection.md,10.1038/s41586-018-0315-8,W2808505390,pub.1105449529,W2808505390,hot streak onset; career burst timing; impact burst window; onset window
hidden_citations,Hidden citations,measures,full_text_seed,Meng et al. (2024),2024,Meng et al. (2024),2024,concepts/measures/hidden_citations.md,10.1093/pnasnexus/pgae155,W4396694003,pub.1171389234,W4396694003,implicit citations; indirect citations; uncited influence; hidden credit
hidden_to_explicit_citation_ratio,Hidden-to-explicit citation ratio,measures,full_text_seed,Meng et al. (2024),2024,Meng et al. (2024),2024,concepts/measures/hidden_to_explicit_citation_ratio.md,10.1093/pnasnexus/pgae155,W4396694003,pub.1171389234,W4396694003,hidden citation ratio; hidden explicit ratio; explicit-plus-hidden citation balance; hidden credit ratio
international_mobility_typologies,International mobility typologies,measures,full_text_seed,Franzoni et al. (2012),2012,Sugimoto et al. (2017),2017,concepts/measures/international_mobility_typologies.md,10.1038/nbt.2449,W1965663941,pub.1041991056,W1965663941,brain circulation typology; migrant researcher; traveler researcher; return mobility; country mobility roles
journal_impact_factor,Journal impact factor,measures,full_text_seed,Garfield (1972),1972,Moher et al. (2018),2018,concepts/measures/journal_impact_factor.md,10.1126/science.178.4060.471,W2053549370,pub.1062505982,W2053549370,impact factor; JIF; journal citation impact; journal evaluation; venue impact factor
knowledge_network_search_efficiency,Knowledge-network search efficiency,measures,full_text_seed,Rzhetsky et al. (2015),2015,Rzhetsky et al. (2015),2015,concepts/measures/knowledge_network_search_efficiency.md,10.1073/pnas.1509757112,W2130145803,pub.1026242168,W2130145803,relative loss; experiments per discovery; discovery cost; network search efficiency
mean_normalized_citation_score,Mean normalized citation score,measures,full_text_seed,Radicchi et al. (2008),2008,Nielsen and Andersen (2021),2021,concepts/measures/mean_normalized_citation_score.md,10.1073/pnas.0806977105,W2151866568,pub.1052550373,W2151866568,MNCS; average normalized citation score; normalized citation average; observed expected citation ratio
median_conventionality,Median conventionality,measures,full_text_seed,Uzzi et al. (2013),2013,Uzzi et al. (2013),2013,concepts/measures/median_conventionality.md,10.1126/science.1240474,W2066752129,pub.1028974017,W2066752129,median pair z-score; conventional grounding; conventionality score; familiar combination median
mention_conditioned_citation_probability,Mention-conditioned citation probability,measures,full_text_seed,Meng et al. (2024),2024,Meng et al. (2024),2024,concepts/measures/mention_conditioned_citation_probability.md,10.1093/pnasnexus/pgae155,W4396694003,pub.1171389234,W4396694003,p cite given mention; citation conditional on mention; mention-citation probability; topic credit visibility
new_journal_pair_novelty,New journal-pair novelty,measures,full_text_seed,Wang et al. (2017),2017,Wang et al. (2017),2017,concepts/measures/new_journal_pair_novelty.md,10.1016/j.respol.2017.06.006,W3123050710,pub.1090835595,W3123050710,new referenced-journal combinations; combinatorial novelty score; first-time journal-pair novelty
newcomer_incumbent_team_mix,Newcomer-incumbent team mix,measures,full_text_seed,Guimera et al. (2005),2005,Guimera et al. (2005),2005,concepts/measures/newcomer_incumbent_team_mix.md,10.1126/science.1106340,W2150443611,pub.1062451305,W2150443611,newcomer fraction; incumbent share; team composition mix; newcomer-incumbent balance
paper_fitness,Paper fitness,measures,full_text_seed,Wang et al. (2013),2013,Sinatra et al. (2016),2016,concepts/measures/paper_fitness.md,10.1126/science.1237825,W2124689612,pub.1042700127,W2124689612,latent fitness; relative fitness; intrinsic paper impact; community response parameter
policy_document_mentions,Policy document mentions,measures,full_text_seed,Bornmann et al. (2016),2016,Haunschild and Bornmann (2017),2017,concepts/measures/policy_document_mentions.md,10.1007/s11192-016-2115-y,W2952238320,pub.1043901162,unknown,policy mentions; policy-related mentions; policy citations; societal impact mentions
post_retraction_citation_persistence,Post-retraction citation persistence,measures,full_text_seed,Fang et al. (2012),2012,Fang et al. (2012),2012,concepts/measures/post_retraction_citation_persistence.md,10.1073/pnas.1212247109,W2097110982,pub.1035913875,W2097110982,continued citation after retraction; post-retraction citation rate; retracted-paper citation persistence
positive_predictive_value_findings,Positive predictive value of findings,measures,full_text_seed,Ioannidis (2005),2005,Ioannidis (2005),2005,concepts/measures/positive_predictive_value_findings.md,10.1371/journal.pmed.0020124,W2144981148,pub.1012818229,W2144981148,PPV of research findings; false positive report probability; post-study probability; finding credibility model
pre_study_odds,Pre-study odds,measures,full_text_seed,Ioannidis (2005),2005,Ioannidis (2005),2005,concepts/measures/pre_study_odds.md,10.1371/journal.pmed.0020124,W2144981148,pub.1012818229,W2144981148,pre-study probability; prior odds of true relationships; field-level prior plausibility; R true-to-null ratio
study_power_false_positive_risk,Study power and false-positive risk,measures,full_text_seed,Ioannidis (2005),2005,Ioannidis (2005),2005,concepts/measures/study_power_false_positive_risk.md,10.1371/journal.pmed.0020124,W2144981148,pub.1012818229,W2144981148,power-dependent PPV; low-power false-positive risk; underpowered study credibility; study power reliability
research_bias_parameter,Research bias parameter,measures,full_text_seed,Ioannidis (2005),2005,Ioannidis (2005),2005,concepts/measures/research_bias_parameter.md,10.1371/journal.pmed.0020124,W2144981148,pub.1012818229,W2144981148,bias parameter u; research finding bias fraction; selective-reporting bias parameter; PPV bias term
field_testing_multiplicity,Field testing multiplicity,mechanisms,full_text_seed,Ioannidis (2005),2005,Ioannidis (2005),2005,concepts/mechanisms/field_testing_multiplicity.md,10.1371/journal.pmed.0020124,W2144981148,pub.1012818229,W2144981148,repeated independent testing; competing-team multiplicity; field-level multiple testing; many-team significance chase
hot_field_proteus_phenomenon,Hot-field Proteus phenomenon,mechanisms,full_text_seed,Ioannidis (2005),2005,Ioannidis (2005),2005,concepts/mechanisms/hot_field_proteus_phenomenon.md,10.1371/journal.pmed.0020124,W2144981148,pub.1012818229,W2144981148,Proteus phenomenon; hot-field claim reversal; rapid refutation sequence; competitive field instability
null_field_bias_estimation,Null-field bias estimation,validations,full_text_seed,Ioannidis (2005),2005,Ioannidis (2005),2005,concepts/validations/null_field_bias_estimation.md,10.1371/journal.pmed.0020124,W2144981148,pub.1012818229,W2144981148,null-field bias measure; bias-dominated literature; claimed effect as bias estimate; field-level net bias
reference_popularity_search,Reference-popularity search,measures,full_text_seed,Wu et al. (2019),2019,Park et al. (2023),2023,concepts/measures/reference_popularity_search.md,10.1038/s41586-019-0941-9,W2913773162,pub.1112085796,W2913773162,search popularity; cited-reference popularity; median reference citations; popular predecessor search
repeat_incumbent_collaboration_fraction,Repeat incumbent collaboration fraction,measures,full_text_seed,Guimera et al. (2005),2005,Guimera et al. (2005),2005,concepts/measures/repeat_incumbent_collaboration_fraction.md,10.1126/science.1106340,W2150443611,pub.1062451305,W2150443611,repeat collaborator ties; prior collaboration; incumbent repeat ties; repeated coauthorship fraction
relative_citation_ratio,Relative Citation Ratio,measures,full_text_seed,Hutchins et al. (2016),2016,Hutchins et al. (2016),2016,concepts/measures/relative_citation_ratio.md,10.1371/journal.pbio.1002541,W2953304564,pub.1017460035,W2953304564,RCR; article-level influence score
responsible_metrics,Responsible metrics,measures,full_text_seed,Hicks et al. (2015),2015,Meng et al. (2024),2024,concepts/measures/responsible_metrics.md,10.1038/520429a,W2068452509,pub.1033957063,W2068452509,Leiden Manifesto; research evaluation; metric governance
research_strategy_surprisal,Research strategy surprisal,measures,full_text_seed,Foster et al. (2015),2015,Foster et al. (2015),2015,concepts/measures/research_strategy_surprisal.md,10.1177/0003122415601618,W2154053722,pub.1006210257,W2154053722,strategy rarity; strategy self-information; risky strategy score; negative log strategy probability
science_technology_distance,Science-technology distance,measures,full_text_seed,Ahmadpoor and Jones (2017),2017,Ahmadpoor and Jones (2017),2017,concepts/measures/science_technology_distance.md,10.1126/science.aam9527,W2743628650,pub.1091201170,W2743628650,patent-paper boundary distance; science-to-technology distance; paper-patent proximity; dual-frontier distance
science_technology_lag,Science-technology lag,measures,full_text_seed,Ahmadpoor and Jones (2017),2017,Ahmadpoor and Jones (2017),2017,concepts/measures/science_technology_lag.md,10.1126/science.aam9527,W2743628650,pub.1091201170,W2743628650,temporal distance to technology; patent application lag; science-to-technology delay; translation lag
scientific_brokerage_centrality,Scientific brokerage centrality,measures,full_text_seed,Newman (2004),2004,Newman (2004),2004,concepts/measures/scientific_brokerage_centrality.md,10.1073/pnas.0307545100,W2097777089,pub.1049986679,W2097777089,betweenness centrality; brokerage; collaboration bridge; referral-chain centrality
coauthorship_broker_removal_fragility,Coauthorship broker-removal fragility,validations,full_text_seed,Newman (2004),2004,Newman (2004),2004,concepts/validations/coauthorship_broker_removal_fragility.md,10.1073/pnas.0307545100,W2097777089,pub.1049986679,W2097777089,high-betweenness removal fragility; collaboration broker attack; targeted broker removal; coauthorship network vulnerability
brokerage_assortativity_check,Brokerage assortativity check,validations,full_text_seed,Newman (2004),2004,Newman (2004),2004,concepts/validations/brokerage_assortativity_check.md,10.1073/pnas.0307545100,W2097777089,pub.1049986679,W2097777089,betweenness assortativity check; broker-broker collaboration check; brokerage mixing validation; betweenness correlation across coauthors
scale_free_degree_distributions,Scale-free degree distributions,measures,full_text_seed,Barabasi and Albert (1999),1999,Fortunato et al. (2018),2018,concepts/measures/scale_free_degree_distributions.md,10.1126/science.286.5439.509,W2008620264,pub.1010080128,W2008620264,power-law degree distribution; heavy-tailed degree distribution; scale-free connectivity; network degree skew
self_citation_rates,Self-citation rates,measures,full_text_seed,King et al. (2017),2017,Park et al. (2023),2023,concepts/measures/self_citation_rates.md,10.1177/2378023117738903,W2466144917,pub.1099634910,W3104836124,self-citation share; self-cited rate; self-citing rate; citation self-reference; self-citation correction
sleep_depth_length,Sleep depth and length,measures,full_text_seed,van Raan (2004),2004,Ke et al. (2015),2015,concepts/measures/sleep_depth_length.md,10.1023/B:SCIE.0000018543.82441.F1,W2159299749,pub.1032191939,W2159299749,sleep length; depth of sleep; citation sleep duration; low-attention period
tail_novelty,Tail novelty,measures,full_text_seed,Uzzi et al. (2013),2013,Uzzi et al. (2013),2013,concepts/measures/tail_novelty.md,10.1126/science.1240474,W2066752129,pub.1028974017,W2066752129,left-tail novelty; 10th-percentile atypicality; atypical combination tail; rare reference-pair tail
time_to_retraction,Time-to-retraction,measures,full_text_seed,Fang et al. (2012),2012,Fang et al. (2012),2012,concepts/measures/time_to_retraction.md,10.1073/pnas.1212247109,W2097110982,pub.1035913875,W2097110982,retraction lag; correction lag; months to retract; publication-to-retraction interval
attention_inequality,Attention inequality and impact skew,mechanisms,full_text_seed,Price (1976),1976,Nielsen and Andersen (2021),2021,concepts/mechanisms/attention_inequality.md,10.1007/s100510050359,W2062021443,pub.1020100757,W2062021443,impact skew; heavy-tailed citations; citation inequality
block_funding_novelty_buffer,Block-funding novelty buffer,mechanisms,full_text_seed,Wang et al. (2018),2018,Wang et al. (2018),2018,concepts/mechanisms/block_funding_novelty_buffer.md,10.1016/j.respol.2018.03.014,W2794465725,pub.1101833101,W2794465725,stable funding novelty buffer; internal block funding protection; block funding for low-status novelty; flexible internal funds
burden_of_knowledge,Burden of knowledge,mechanisms,full_text_seed,Jones (2009),2009,Park et al. (2023),2023,concepts/mechanisms/burden_of_knowledge.md,10.1111/j.1467-937x.2008.00531.x,W3124253902,pub.1061936767,W3124253902,knowledge burden; death of the Renaissance Man; specialization pressure; frontier depth
citation_diversion_hierarchy,Citation diversion hierarchy,mechanisms,full_text_seed,Meng et al. (2024),2024,Meng et al. (2024),2024,concepts/mechanisms/citation_diversion_hierarchy.md,10.1093/pnasnexus/pgae155,W4396694003,pub.1171389234,W4396694003,indirect hidden citations; redirected credit; alternative citation hierarchy; citation-path diversion
citation_aging_obsolescence,Citation aging and obsolescence,mechanisms,full_text_seed,Price (1965),1965,Wu et al. (2019),2019,concepts/mechanisms/citation_aging_obsolescence.md,10.1126/science.1237825,W2124689612,pub.1042700127,W2124689612,citation decay; immediacy; half-life; long-term impact
central_nearby_problem_choice_bias,Central-nearby problem-choice bias,mechanisms,full_text_seed,Rzhetsky et al. (2015),2015,Rzhetsky et al. (2015),2015,concepts/mechanisms/central_nearby_problem_choice_bias.md,10.1073/pnas.1509757112,W2130145803,pub.1026242168,W2130145803,centrality bias; nearby-search bias; local-neighborhood search; high-degree entity preference
cumulative_advantage,Cumulative advantage,mechanisms,full_text_seed,Price (1976),1976,Li et al. (2019),2019,concepts/mechanisms/cumulative_advantage.md,10.1002/asi.4630270505,W2080450835,pub.1038956878,W2080450835,success-breeds-success; preferential accumulation; increasing advantage
delayed_recognition,Delayed recognition and prematurity,mechanisms,full_text_seed,Stent (1972),1972,Wu et al. (2019),2019,concepts/mechanisms/delayed_recognition.md,10.1038/scientificamerican1272-84,W2005933779,pub.1056644828,W2005933779,prematurity; delayed discovery; delayed uptake
disruption_consolidation,Disruption and consolidation,mechanisms,full_text_seed,Funk and Owen-Smith (2017),2017,Park et al. (2023),2023,concepts/mechanisms/disruption_consolidation.md,10.1287/mnsc.2015.2366,W2303284028,pub.1064718099,W2303284028,CD index; disruptive science; developmental science
early_career_setback_resilience,Early-career setback and resilience,mechanisms,full_text_seed,Wang et al. (2019),2019,Wang et al. (2019),2019,concepts/mechanisms/early_career_setback_resilience.md,10.1038/s41467-019-12189-3,W2977412048,pub.1121403320,W3099970011,near miss; narrow win; career resilience; early setback; funding threshold shock
